Student_ID,Study_Hours,Attendance_Percentage,Scores
1,8.0,66.9,57.0
2,17.2,77.4,91.7
3,13.7,75.9,77.8
4,11.6,84.6,64.7
5,4.5,85.4,51.5
6,4.5,61.8,49.5
7,2.9,75.0,44.2
8,15.9,85.0,81.0
9,11.6,80.1,77.7
10,13.3,94.3,69.6
11,2.3,86.3,41.1
12,17.5,66.5,100.0
13,15.3,62.8,78.7
14,5.4,85.7,46.1
15,4.9,61.1,47.7
16,4.9,83.4,44.8
17,6.9,97.6,46.3
18,10.4,83.0,66.7
19,8.9,75.5,55.9
20,6.7,85.7,55.7
21,11.8,78.3,66.7
22,4.2,81.8,52.6
23,6.7,97.7,49.4
24,7.9,75.4,55.9
25,9.3,98.4,66.6
26,14.6,96.2,74.8
27,5.2,67.8,49.3
28,10.2,62.8,72.3
29,11.5,64.0,62.1
30,2.7,60.7,40.5
31,11.7,63.8,72.3
32,4.7,87.3,50.5
33,3.0,62.8,34.5
34,17.2,72.8,83.5
35,17.5,93.8,93.7
36,14.9,60.9,83.8
37,6.9,92.6,55.3
38,3.6,71.3,44.2
39,12.9,64.7,71.9
40,9.0,87.9,62.8
41,4.0,85.2,45.3
42,9.9,95.1,61.2
43,2.6,89.4,48.3
44,16.5,92.1,90.3
45,6.1,71.3,45.5
46,12.6,67.1,77.4
47,7.0,90.0,49.6
48,10.3,92.3,70.1
49,10.7,99.6,73.4
50,5.0,76.5,43.2
51,17.5,74.9,96.1
52,14.4,91.1,82.5
53,17.0,73.6,93.7
54,16.3,97.2,96.6
55,11.6,94.3,69.3
56,16.7,77.2,84.9
57,3.4,90.0,37.5
58,5.1,90.2,43.9
59,2.7,64.1,39.1
60,7.2,96.1,56.9
61,8.2,80.2,60.1
62,6.3,93.1,56.3
63,15.3,72.8,83.5
64,7.7,95.8,64.2
65,6.5,75.6,51.4
66,10.7,60.4,81.0
67,4.3,96.2,48.0
68,14.8,63.7,77.6
69,3.2,72.8,35.8
70,17.8,98.0,94.7
71,14.4,98.0,79.1
72,5.2,82.9,51.7
73,2.1,85.3,39.7
74,15.0,77.9,82.3
75,13.3,71.7,72.4
76,13.7,73.1,70.3
77,14.3,86.9,78.0
78,3.2,90.1,45.4
79,7.7,91.7,58.1
80,3.9,91.6,37.3
81,15.8,63.6,86.2
82,12.0,79.8,73.8
83,7.3,62.3,51.1
84,3.0,82.0,41.3
85,7.0,77.7,54.7
86,7.2,95.5,49.5
87,13.7,74.0,79.6
88,12.2,64.7,75.5
89,16.2,65.7,92.1
90,9.6,90.5,68.7
91,3.9,84.7,36.8
92,13.4,64.0,72.3
93,14.2,63.4,82.2
94,11.0,88.0,71.0
95,14.3,62.9,82.7
96,9.9,92.9,83.9
97,10.4,88.2,69.1
98,8.8,63.3,66.6
99,2.4,63.4,43.2
100,3.7,99.5,46.3
101,2.5,75.0,37.2
102,12.2,74.8,76.4
103,7.0,92.5,50.7
104,10.1,97.9,64.3
105,16.5,99.4,85.4
106,6.0,90.1,51.4
107,8.6,75.1,71.6
108,14.1,63.3,70.0
109,5.7,91.1,53.2
110,3.2,82.3,33.2
111,6.6,77.0,50.9
112,4.6,96.3,51.5
113,16.9,64.4,89.4
114,14.9,79.7,76.9
115,12.1,60.5,68.9
116,15.9,78.7,89.2
117,14.9,62.3,78.4
118,5.0,64.8,48.5
119,16.3,64.7,87.2
120,10.6,86.0,63.9
121,14.9,89.8,92.9
122,16.3,83.3,90.4
123,7.1,98.5,44.7
124,3.8,75.0,44.1
125,5.6,71.4,46.5
126,8.8,94.7,65.2
127,15.1,68.9,78.8
128,15.8,98.5,84.6
129,2.1,60.5,39.9
130,10.2,98.8,69.9
131,8.7,61.7,54.4
132,5.6,95.6,47.8
133,3.9,81.1,41.3
134,7.4,99.7,52.6
135,17.1,63.0,98.6
136,7.2,82.2,57.1
137,10.3,98.8,59.7
138,13.2,80.9,81.0
139,7.8,85.2,68.0
140,17.5,87.8,96.6
141,17.4,78.2,83.3
142,6.0,85.1,48.7
143,10.0,83.4,71.2
144,6.8,96.0,50.3
145,6.6,61.8,55.2
146,2.6,71.2,42.9
147,11.8,98.0,66.5
148,10.0,95.6,64.9
149,2.8,78.2,23.7
150,6.5,84.8,47.5
